bird_id,theme,head,eyes,body,tail,wingLeft,wingRight,feet,beak
2270,defaultyellow,var1,1f32b,var1,var1,var1,var1,var1,var4
2271,rift,var3,1f620,var3,var3,var3,var3,var3,1f620
2280,black,var3,1f970,var3,var3,2694-fe0f,var3,var3,1f970
2281,seafoam,var1,var2,var1,var1,var1,1f409,var1,1f54a-fe0f
2282,icicle,var3,1f60d,var3,var3,var3,var3,var3,1f60d
2283,spacepoptart,var4,1f32b,var4,var4,var4,var4,var4,var3
2284,retrosteel,var4,1f60e,var4,var4,var4,1f30a,var4,1f60e
2285,denim,var3,1f60e,var3,var3,var3,1f4a7,var3,1f60e
2286,defaultyellow,var4,1f609,var4,var4,var4,var4,var4,1f609
2287,rift,var4,1f92f,var4,var4,var4,var4,var4,1f92f
2288,eggplant,var0,263a-fe0f,var0,var0,var0,var0,var0,263a-fe0f
2289,lavender,var0,1f92f,var0,var0,var0,var0,var0,1f92f
2291,defaultyellow,1f48e,1f618,var4,var4,var4,var4,var4,1f618
2292,raspberry,var0,1f60d,var0,var0,var0,var0,var0,1f60d
2293,chilipepper,var0,rasta,var0,var0,var0,var0,var0,rasta
2294,eggplant,1f30a,1f60d,1f30a,1f30a,1f30a,1f30a,1f30a,1f60d
2296,lola,1f525,263a-fe0f,var2,var2,var2,var2,var2,263a-fe0f
2297,bandicoot,var0,1f9df,var0,1f525,var0,var0,var0,1f9df
2298,ocean,var2,rasta,var2,1f30b,var2,var2,var2,rasta
2299,coral,var4,var0,var4,2694-fe0f,var4,var4,var4,1f430
2300,puff,var3,1f60f,var3,var3,1f9be,var3,var3,1f60f
2301,ube,var2,1f609,var2,var2,var2,var2,var2,1f609
2302,defaultyellow,var2,1f970,var2,var2,var2,var2,var2,1f970
2303,pistachio,var4,1f92f,var4,var4,var4,var4,var4,1f92f
2304,eggplant,var4,1f620,var4,var4,1fa78,1fa78,var4,1f620
2305,pumpkin,var4,263a-fe0f,var4,var4,var4,var4,var4,263a-fe0f
2306,defaultyellow,var3,1f60d,var3,var3,var3,var3,var3,1f60d
2307,denim,var3,1f60d,var3,1f32a-fe0f,var3,var3,var3,1f60d
2308,eggplant,var1,1f60f,var1,var1,var1,1f4a7,var1,1f60f
2309,duckeggblue,var3,1f970,var3,var3,var3,var3,var3,1f970
2310,lola,1fa78,1f47f,var2,1fa78,var2,var2,var2,1f47f
2311,chilipepper,1fa78,1f47f,var1,1fa78,var1,var1,var1,1f47f
2312,bandicoot,var2,1f609,var2,var2,var2,1f98b,var2,1f609
2313,gold,var1,1f618,var1,var1,var1,var1,var1,1f618
2314,oddworldabe,var2,rasta,var2,var2,goldtrim,var2,var2,rasta
2315,hymn,var1,1f60e,var1,1f30a,var1,var1,var1,1f60e
2316,orange,var2,1f60d,var2,var2,1f30b,var2,var2,1f60d
2317,blue,var4,1f62c,var4,var4,1f30a,var4,var4,1f62c
2318,nightwing,var2,263a-fe0f,var2,var2,var2,1f916,var2,263a-fe0f
2319,defaultyellow,var0,263a-fe0f,var0,var0,var0,1f409,var0,263a-fe0f
2320,defaultyellow,var0,1f970,var0,var0,var0,var0,var0,1f970
2321,midnight,var1,1f61e,var1,var1,var1,var1,var1,1f61e
2322,ocean,var0,1f60f,var0,var0,var0,1f98b,var0,1f60f
2323,blue,var0,1f60d,var0,var0,var0,1f32a-fe0f,var0,1f60d
2324,denim,var0,263a-fe0f,var0,1f32a-fe0f,var0,var0,var0,263a-fe0f
2325,retrosteel,1f30b,1f60e,var0,var0,var0,var0,var0,1f60e
2326,blue,1f32a-fe0f,1f60f,var0,var0,var0,var0,var0,1f60f
2327,blue,1f30a,1f609,var3,var3,var3,var3,var3,1f609
2328,eggplant,1f4a7,rasta,var3,var3,var3,var3,var3,rasta
2329,puff,1f30b,1f62c,var1,var1,var1,var1,var1,1f62c
